,pollster,polls analyzed,simple average error,races called correctly,advanced,predictive,538 grade,mean-reverted bias
140,"Yankelovich Partners, Inc.",6,7.0,42%,+0.3,+0.3,B-,R+0.1
141,OnMessage Inc.,6,9.1,67%,+2.7,+0.7,C+,R+1.1
142,University of Wisconsin (Badger Poll),6,6.9,83%,0.0,+0.3,B,D+0.2
143,American Viewpoint,6,4.0,67%,-1.4,0.0,B,R+0.6
144,Marketing Resource Group (MRG),6,11.0,17%,+1.9,+0.6,C+,R+0.3
145,OpinionWorks,6,7.3,92%,+1.0,+0.4,B-,R+0.5
146,Nielson Brothers Polling,6,8.5,83%,+4.1,+1.4,C-,D+1.4
147,Temple University,6,3.7,100%,-1.5,0.0,B+,R+0.4
148,Valley Research,6,11.5,83%,+5.7,+1.6,D+,D+0.4
149,Voter/,6,5.5,100%,-0.7,+0.1,B,R+0.2
150,"Public Strategies, Inc.",6,7.9,100%,+0.8,+0.8,C+,R+0.1
151,Moore Information,6,6.5,67%,-0.3,+0.2,B,R+0.5
152,Rhode Island College,5,6.1,100%,0.0,+0.7,C+,R+0.2
153,JMC Enterprises,5,7.8,100%,+1.0,+0.8,C,R+0.9
154,20/,5,16.6,40%,+3.6,+1.2,C-,D+0.0
155,Stockton College,5,4.5,100%,-0.6,+0.2,B,D+0.5
156,Hellenthal &amp; Associates,5,8.2,40%,+3.4,+0.7,C+,D+0.4
157,Millersville University,5,14.1,80%,+7.2,+1.7,D,R+1.5
158,Greenberg Quinlan Rosner/,5,4.4,100%,-2.8,0.0,B+,R+0.6
159,Ivan Moore Research,5,9.4,40%,+4.5,+0.9,C,D+1.3
160,Greg Smith and Associates,5,8.5,60%,+2.6,+1.1,C,D+1.2
161,"International Communications Research, Inc.",5,3.1,20%,-1.6,+0.5,B-,R+0.1
162,Virginia Commonwealth University,5,4.9,100%,+0.8,+0.4,B-,R+0.3
163,Crawford Johnson &amp; Northcott Inc.,5,4.6,100%,-3.0,+0.4,B-,D+0.1
164,DFM Research,5,6.3,80%,+0.5,+0.3,B-,D+0.9
165,Ed Renwick,5,6.5,80%,+1.1,+0.8,C,D+0.1
166,Clemson University,5,10.3,100%,-1.7,0.0,B,R+0.5
167,Middle Tennessee State University,4,8.0,100%,+0.9,+0.4,B-,D+0.1
168,University of Texas,4,1.2,100%,-5.0,+0.5,B-,D+0.1
169,Wirthlin Worldwide,4,4.6,75%,-0.8,+0.6,C+,R+0.5
170,"Frank N. Magid Associates, Inc.",4,4.6,100%,-1.8,+0.5,B-,D+0.5
171,Orion Strategies,4,3.1,100%,-3.6,+0.5,B-,D+0.1
172,Alabama State University,4,6.4,50%,-3.4,+0.5,B-,D+0.4
173,Northern Arizona University,4,3.6,100%,-3.3,+0.5,B-,R+0.4
174,University of Arkansas,4,2.4,100%,-5.5,-0.4,A-,D+0.3
175,Optimus,4,13.3,50%,+5.0,+1.3,C-,R+0.8
176,University of North Florida,4,4.5,50%,-1.0,-0.3,B+,D+0.3
177,Fort Hays State University,4,23.8,50%,+9.3,+1.4,C-,R+0.2
178,Minnesota State University Moorhead,4,9.3,100%,+2.0,+0.9,C,D+0.5
179,IVR Polls,4,4.0,100%,-2.2,+0.5,B-,R+0.1
180,Kimball Political Consulting,4,8.1,75%,+4.7,+0.8,C+,R+1.0
181,Consumer Logic,4,8.8,50%,+3.8,+1.1,C-,D+0.6
182,Richmond Times-Dispatch,4,3.3,100%,-1.1,+0.1,B,D+0.3
183,Southern Media &amp; Opinion Research,4,6.4,100%,+0.9,+0.4,B-,D+0.0
184,Cole Hargrave Snodgrass &amp; Associates,4,6.3,75%,-1.3,+0.1,B,D+0.3
185,Clarity Campaign Labs,4,3.2,63%,-0.1,+0.3,B,D+0.4
186,"Political Marketing International, Inc./",4,4.3,63%,-1.2,+0.6,B-,D+0.1
187,Purple Strategies,4,3.0,88%,-1.2,+0.6,B-,R+0.4
188,Hill Research Consultants,4,5.4,50%,-0.1,+0.3,B,R+0.4
189,Philadelphia Inquirer,4,3.0,100%,-1.5,+0.1,B,R+0.3
190,Jim Meader (KELOLAND-TV),4,4.6,100%,-0.3,+0.7,C+,D+0.5
191,Brigham Young University,4,16.5,75%,+7.2,+1.5,D+,D+1.9
192,OnPoint,4,1.7,100%,-1.9,+0.5,B-,D+0.2
193,Strategies 360,4,2.0,63%,-3.2,0.0,B,R+0.1
194,Scripps Howard,4,3.8,100%,-1.9,+0.5,B-,R+0.1
195,CallFire,4,3.9,75%,+0.6,+0.3,B-,R+0.5
196,Market Solutions Group,4,4.3,100%,-1.0,+0.6,C+,R+0.0
197,University of Wisconsin Milwaukee,3,5.3,100%,-1.5,+0.6,C+,R+0.5
198,"Keating Research, Inc.",3,2.2,67%,-3.0,+0.1,B,R+0.0
199,TargetPoint,3,14.0,83%,+3.9,+1.1,C,D+0.4
200,PSI,3,12.5,67%,+2.5,+0.9,C,R+0.1
201,The Polling Company Inc.,3,3.7,100%,-1.5,+0.1,B,R+0.0
202,Knowledge Networks,3,4.1,100%,-1.1,+0.2,B,R+0.0
203,Wilson Perkins Allen Opinion Research,3,6.0,67%,-0.8,+0.2,B,R+0.3
204,Western Kentucky University,3,13.7,67%,+4.8,+0.7,C+,D+0.8
205,Momentum Analysis,3,13.7,33%,+6.8,+0.9,C,D+0.5
206,Midwest Survey and Research,3,7.3,100%,-0.9,+0.6,C+,R+0.1
207,Manhattanville College,3,6.5,100%,-0.9,+0.6,C+,R+0.5
208,University of Iowa,3,15.9,67%,+5.0,+0.7,C+,R+0.2
209,Polling Company/,3,4.6,33%,+2.0,+0.9,C,R+0.4
210,Dixie Strategies,3,7.9,83%,-0.9,+0.6,C+,R+0.3
211,Braun Research,3,9.1,100%,+3.3,+0.6,C+,D+0.8
212,McCulloch Research &amp; Polling,3,4.9,67%,-0.1,+0.7,C+,R+0.3
213,Decision Forecasting,3,8.1,100%,+1.6,+0.9,C,R+0.1
214,Data West Polling,3,14.6,33%,+7.0,+1.3,C-,D+1.3
215,Personal Marketing Research,3,6.2,67%,-2.2,+0.5,B-,D+0.3
216,MSR Group,3,3.5,100%,-2.8,+0.5,B-,D+0.3
217,Illinois Wesleyan University,3,8.2,100%,+1.4,+0.8,C+,R+0.7
218,Castleton University,3,9.9,100%,-1.0,-0.2,B+,R+0.0
219,Becker Institute,3,7.6,67%,+0.8,+0.8,C+,D+0.7
220,Iowa State University,3,6.3,67%,-3.5,+0.5,B-,R+0.1
221,CPEC LLC,3,16.2,100%,+7.7,+1.4,D+,D+0.1
222,Christopher Newport University,3,6.8,100%,+0.7,+0.3,B-,D+0.6
223,Lycoming College,3,7.3,67%,+1.3,+0.8,C+,D+0.7
224,Clarus Research Group,3,6.8,100%,+0.8,+0.4,B-,D+0.5
225,Indiana University-Purdue University Fort Wayne,3,23.5,0%,+10.3,+1.2,C-,R+1.3
226,StPetePolls.org,2,2.0,25%,-1.0,+0.7,C+,D+0.1
227,Loyola University (New Orleans),2,12.1,100%,+9.6,+1.3,C-,D+0.8
228,"Baselice &amp; Associates, Inc.",2,10.0,100%,+4.3,+0.6,C+,D+0.2
229,McKeon &amp; Associates,2,0.9,100%,-6.6,+0.2,B,R+0.0
230,Gordon S. Black Corp.,2,6.3,100%,-0.1,+0.7,C+,R+0.4
231,GaPundit.com,2,8.3,25%,+3.0,+0.9,C,D+0.5
232,Baruch College,2,5.7,100%,-0.1,+0.3,B-,R+0.0
233,Massie &amp; Associates,2,23.9,0%,+14.4,+1.6,D+,R+1.5
234,Zata3,2,10.2,100%,+2.8,+0.9,C,R+0.2
235,Rice University,2,5.9,100%,+0.1,+0.7,C+,D+0.4
236,Ohio University,2,8.8,50%,+7.7,+1.2,C-,D+0.5
237,Merrill Poll,2,8.7,100%,-0.7,+0.2,B,R+0.4
238,Belden Russonello,2,4.7,100%,+0.2,+0.3,B-,D+0.2
239,Frederick Polls,2,2.4,75%,-4.9,+0.2,B,R+0.0
240,University of Alabama,2,12.0,100%,+7.0,+1.2,C-,R+0.8
241,APC Research,2,2.5,100%,-3.5,+0.2,B,D+0.2
242,Cherry Communications,2,9.2,75%,+2.5,+0.9,C,R+0.1
243,Tulchin Research,2,3.5,100%,-3.2,+0.2,B,R+0.2
244,WCIA-TV,2,18.3,100%,+10.7,+1.4,C-,R+1.1
245,GBA Strategies,2,3.7,100%,-2.7,+0.2,B,R+0.2
246,M4 Strategies,2,3.1,100%,-6.2,+0.6,C+,R+0.2
247,MarblePort,2,5.6,100%,+0.5,+0.8,C+,R+0.2
248,TMR Research,2,7.8,0%,+2.0,+0.8,C,D+0.5
249,Basswood Research,2,10.7,100%,+0.6,+0.8,C+,R+0.4
250,Louis Harris &amp; Associates,2,0.9,100%,-4.5,+0.6,C+,D+0.1
251,ResearchNow,2,9.4,100%,+0.8,+0.8,C+,D+0.0
252,Schapiro Group,2,20.0,100%,+5.0,+1.0,C,D+0.4
253,Forward Strategies,2,1.3,100%,-2.7,+0.6,C+,D+0.1
254,Lincoln Institute,2,4.1,75%,-2.7,+0.6,C+,R+0.3
255,Crosswind Media &amp; Public Relations,2,6.5,100%,-2.0,+0.6,C+,R+0.0
256,Texas Credit Union League,2,7.0,100%,-1.9,+0.6,C+,D+0.1
257,Research America Inc.,2,20.7,100%,+8.2,+0.8,C+,R+0.4
258,Kiley &amp; Company,2,5.1,100%,-1.7,+0.2,B,D+0.2
259,CrossTarget,2,7.7,100%,+1.6,+0.8,C+,R+0.5
260,North Star Opinion Research/,2,7.0,50%,+2.6,+0.5,B-,R+0.4
261,"Fabrizio, Lee &amp; Associates",2,5.9,50%,-0.4,+0.3,B,D+0.4
262,Bannon Communications,2,10.4,100%,+4.0,+1.0,C,D+0.6
263,Independent Market Research,2,5.7,100%,+1.7,+0.8,C+,D+0.3
264,Douglas Fulmer &amp; Associates,2,5.1,100%,-2.9,+0.6,C+,R+0.3
265,TeleResearch Corporation,1,8.6,100%,+2.2,+0.8,C+,D+0.2
266,Ron Lester and Associates,1,18.9,100%,+3.3,+0.8,C+,R+0.1
267,Rossman Group,1,4.2,100%,+0.6,+0.7,C+,D+0.1
268,A&A; Research,1,10.1,0%,+3.7,+0.8,C,R+0.3
269,Southern Opinion Research,1,9.4,100%,+3.7,+0.8,C,D+0.3
270,Strategic Services,1,5.5,0%,+0.5,+0.7,C+,D+0.2
271,"California State University, Bakersfield",1,9.8,0%,+3.9,+0.9,C,R+0.3
272,New Frontier Strategy,1,21.6,0%,+3.9,+0.9,C,R+0.1
273,Marketing Research Institute,1,7.4,0%,+4.6,+0.9,C,R+0.2
274,Saint Leo University,1,4.1,0%,+0.2,+0.7,C+,D+0.1
275,Glascock Group,1,12.1,0%,+4.8,+0.9,C,R+0.4
276,Inside Michigan Politics,1,13.2,0%,+5.0,+0.9,C,R+0.4
277,ASA Marketing Group,1,5.5,100%,-0.4,+0.7,C+,D+0.2
278,Y2 Analytics,1,28.4,100%,+12.6,+0.7,C+,R+0.4
279,Market Trends Pacific,1,4.6,50%,-0.5,+0.7,C+,D+0.1
280,"SMS Research &amp; Marketing Services, Inc.",1,9.8,0%,+5.7,+0.9,C,R+0.3
281,GCR &amp; Associates,1,18.3,100%,+6.1,+0.9,C,R+0.1
282,Wick Communications,1,2.8,100%,-0.8,+0.7,C+,D+0.1
283,"MarketAide Services, Inc.",1,11.2,100%,+6.9,+1.0,C,D+0.4
284,NRECA Market Research,1,6.3,100%,-1.0,+0.7,C+,D+0.2
285,Analytical Group,1,4.0,100%,-1.1,+0.7,C+,D+0.1
286,Iona College,1,4.4,100%,-1.1,+0.7,C+,D+0.1
287,Anderson Group,1,10.9,0%,+7.8,+1.0,C,R+0.4
288,Triumph Campaigns,1,4.2,100%,-1.2,+0.7,C+,R+0.1
289,Forman Center,1,2.6,100%,-1.2,+0.7,C+,D+0.1
290,War Room Logistics,1,4.5,100%,-1.6,+0.7,C+,R+0.2
291,Diversified Research Inc,1,5.0,100%,-2.0,+0.7,C+,R+0.2
292,Neighborhood Research Corporation,1,3.4,100%,-2.1,+0.7,C+,R+0.1
293,Great Lakes Strategies Group,1,7.6,0%,+2.8,+0.8,C+,R+0.2
294,Winston Group,1,6.3,100%,-2.4,+0.7,C+,D+0.2
295,Red Sea Communications,1,4.4,100%,-2.4,+0.7,C+,R+0.1
296,Jeffrey Stonecash,1,17.3,0%,+10.7,+1.1,C,R+0.6
297,New Mexico State University,1,6.8,0%,-2.5,+0.7,C+,R+0.1
298,Multi Quest International Inc,1,1.9,100%,-2.8,+0.7,C+,D+0.1
299,MBQF,1,4.3,100%,-2.9,+0.7,C+,D+0.4
300,Multi-Quest International,1,4.1,0%,-3.0,+0.7,C+,D+0.1
301,"Central Surveys, Inc.",1,1.7,0%,-3.3,+0.7,C+,D+0.1
302,Neighbor,1,17.1,100%,+13.7,+1.2,C-,R+0.6
303,Cooper &amp; Secrest,1,2.6,0%,-3.5,+0.7,C+,R+0.1
304,BIGresearch,1,2.0,100%,-3.6,+0.7,C+,R+0.1
305,Wood Communications Group,1,0.8,100%,-3.8,+0.7,C+,D+0.0
306,Cranford &amp; Associates,1,2.5,100%,-3.9,+0.7,C+,D+0.1
307,"Dynamic Marketing, Inc.",1,3.0,100%,-4.1,+0.7,C+,D+0.1
308,RMS Research,1,0.9,100%,-5.4,+0.7,C+,R+0.0
309,Market Strategies International,1,1.1,100%,-5.6,+0.7,C+,R+0.0
310,University of Tennessee,1,2.7,100%,-5.6,+0.7,C+,R+0.1
311,Canisius College,1,0.1,100%,-5.8,+0.7,C+,R+0.5
312,Lauer Johnson Research,1,13.8,0%,+7.2,+0.5,B-,D+0.4
313,Feldman Group,1,10.8,0%,+3.7,+0.4,B-,D+0.3
314,Hoffman Research Group,1,7.1,100%,+2.2,+0.4,B-,R+0.2
315,Val Smith,1,8.5,100%,+2.0,+0.4,B-,R+0.3
316,Victoria Research &amp; Consulting,1,8.1,50%,+1.0,+0.3,B-,D+0.3
317,University of Nevada Las Vegas,1,9.0,100%,+0.9,+0.3,B-,R+0.2
318,Schoen Consulting,1,2.3,100%,-0.7,+0.3,B-,R+0.1
319,Riggs Research Services,1,33.7,0%,+24.0,+1.5,D+,D+1.1
320,Old Dominion University,1,4.5,100%,-1.0,+0.3,B,D+0.1
321,Hampton University,1,3.5,100%,-1.8,+0.2,B,D+0.1
322,QEV Analytics,1,7.3,0%,-1.9,+0.2,B,D+0.1
323,University of Houston,1,2.0,100%,-6.6,+0.2,B,D+1.4
324,Vanderbilt University,1,8.9,100%,+0.5,-0.1,B+,D+0.0
325,Diamond State Consulting Group,1,4.2,100%,-2.2,+0.7,C+,D+0.1
